user_id,customer_code,customer_short_name,latitude,longitude
BMGSV10,10100005,MAY SIANG KOPITIAM,5.3720473,100.5568336
BMGSV10,10100014,SOON HIN,5.371442,100.5565199
BMGSV10,10100021,SHELL CHOP KWONG SOON,5.3718905,100.5555263
BMGSV10,10100023,SRI RAJES ENTERPRISE,5.3687882,100.5566406
BMGSV10,10100028,NOOR MAHSHAH BIN ISMAIL,5.3560734,100.5536418
BMGSV10,10100034,RESTORAN ANGSANA,5.3732603,100.5302231
bmgsv18,10100055,POH POH (N),5.3767162,100.5387028
BMGSV10,10100056,CHOP LIEN GOON,5.3770119,100.5389389
BMGSV10,10100068,RESTORAN CKM,5.3747276,100.5374473
BMGSV10,10100069,MUM TRD,5.3741409,100.5365575
BMGSV10,10100071,PASARAYA POH LAI SDN BHD,5.3722966,100.5350608
BMGSV10,10100076,YES HIGHLAND,5.3793555,100.5448786
BMGSV10,10100079,RESTORAN HAJA,5.3703177,100.555182
BMGSV10,10100094,RESTORAN RIA,5.371141,100.5535871
BMGSV10,10100105,SIN SOON HENG,5.3697888,100.55008
BMGSV10,10100107,TAN YEAN KHAN,5.3744617,100.551812
bmgsv18,10100108,YQZ SEMARAK ENTERPRISE (N),5.3780971,100.5407563
BMGSV10,10100110,KANG CHOI SIN STALL,5.3711454,100.5547417
BMGSV10,10100111,TIAW YONG STALL,5.3712655,100.5549661
BMGSV10,10100113,SENG HOOI,5.3738005,100.5546074
BMGSV10,10100119,SOON LEE,5.3708445,100.5544313
BMGSV10,10100126,ABDUL RAHMAN,5.3709316,100.5556626
BMGSV10,10100130,YONG SHUN,5.3758348,100.5397679
BMGSV10,10100131,RESTORAN WEN XI,5.3758239,100.5398386
BMGSV10,10100143,NINETY SIX RESTAURANT,5.3768108,100.5388993
BMGSV11,10100167,CHOP CHAI SANG,5.4199281,100.6679161
BMGSV13,10100176,PHANG HENG,5.3213139,100.74879
BMGSV13,10100185,CHIA KIM FUAT,5.3210263,100.7483965
BMGSV11,10100199,KON SIEW KIANG,5.4197447,100.667419
BMGSV11,10100207,TKB GLOBAL ENTERPRISE,5.5128849,100.554153
BMGSV11,10100222,EE CHENG ENTERPRISE,5.5133917,100.5530156
BMGSV11,10100236,LAW,5.5114165,100.5592325
BMGSV11,10100250,MD KASIM OTHMAN,5.456451,100.6346436
BMGSV11,10100259,PERNIAGAAN YONIEE JAYA,5.4277454,100.6427121
BMGSV11,10100267,MUTIARA SMART STATIONARY,5.4321812,100.6400177
BMGSV11,10100280,TAN JAU EE,5.5181478,100.6134214
BMGSV11,10100281,HOOI HUAT,5.5180672,100.6136028
BMGSV11,10100289,ERA VIP ENTERPRISE,5.5166953,100.6131459
BMGSV11,10100296,HOE HUAT,5.518055,100.6135419
BMGSV11,10100319,SIN SENG KIAT,5.5124105,100.5546446
BMGSV11,10100321,KEN FAH HEN,5.5090617,100.5533449
BMGSV11,10100343,THIRU SELVAM,5.5040008,100.7271905
BMGSV11,10100350,MOHD AKHIR ABDOLLAH,5.4798769,100.694074
BMGSV12,10100360,RESTORAN TAN KEE,5.4291575,100.5346783
BMGSV12,10100370,SENG LEE CAFE,5.429676,100.5326946
BMGSV12,10100373,KR ML,5.444423,100.5385557
BMGSV12,10100399,PETRONAS MAKMUR JAYA,5.4166188,100.5501589
BMGSV12,10100401,MOBIL - PETROMAJU SDN BHD,5.418301,100.5502086
BMGSV12,10100402,RESTORAN GIE AUN,5.4248984,100.551823
BMGSV12,10100418,RESTORAN DUA RIBU,5.4398634,100.5370363
BMGSV12,10100426,PERNIAGAAN UBAT SWEE CHOON,5.4468383,100.5488544
BMGSV12,10100429,PASAR EKONOMI NTG,5.4243975,100.5519494
BMGSV12,10100446,MINI MARKET HASAN,5.3980968,100.558978
BMGSV10,10100007,GOH STORE,5.3748667,100.5540482
BMGSV10,10100010,KEDAI BOON HUI,5.3722169,100.5569272
BMGSV10,10100011,LIM MENG KUANG,5.3721349,100.5564966
BMGSV10,10100012,MA COOKIES AND TITBITS COTTAGE,5.3721325,100.5563666
BMGSV10,10100013,TAN CHIN WEI,5.3719527,100.5562027
BMGSV10,10100025,SAY KENG,5.3675455,100.5547483
BMGSV10,10100043,PASAR MINI JORA,5.3764954,100.5367225
BMGSV10,10100075,NASMIR MART,5.3800045,100.5434553
BMGSV10,10100102,LEAN HING,5.3735536,100.5403346
BMGSV10,10100104,NGUAN SENG,5.3714394,100.5568363
BMGSV10,10100128,SIN AH,5.3716084,100.5547233
bmgsv18,10100147,SIN SIAN WAK (N),5.3688316,100.5559526
BMGSV10,10100152,REST XI YANG YANG,5.3720921,100.5409069
BMGSV10,10100154,PASAR MINI CHIT,5.3694129,100.5422851
BMGSV13,10100175,SERK HEANG,5.3213747,100.749006
BMGSV13,10100177,MOHD YUSOF TAIB,5.3207786,100.7482088
BMGSV13,10100178,NAM LONG,5.3202692,100.7478902
BMGSV13,10100182,JOO LONG STORE,5.3197529,100.7478524
BMGSV13,10100189,ARUMUGAM,5.3310748,100.7476752
BMGSV11,10100206,NAM KING,5.512607,100.5544808
BMGSV11,10100212,SIN HUP LEONG,5.5135671,100.5523907
BMGSV11,10100213,HJ YUSOF CAFE,5.5139039,100.5525443
BMGSV11,10100215,TEONG EONG,5.5142192,100.5506032
BMGSV11,10100232,HOCK LEE SENG TRADING,5.5116822,100.5572843
BMGSV11,10100233,CHOP BOON HUAT,5.5114919,100.5576644
BMGSV11,10100240,INDA JAYA,5.5112662,100.558616
BMGSV11,10100258,EE HOE,5.4278904,100.6428024
BMGSV11,10100269,GOBASH MINI MARKET,5.4325578,100.6398208
BMGSV11,10100288,RESTORAN LALA,5.5166499,100.6131116
BMGSV11,10100292,BALAMAH,5.5171942,100.6132297
BMGSV11,10100293,NYAN NYAN,5.5185047,100.6131328
BMGSV11,10100305,MAHEN,5.514458,100.5444362
BMGSV11,10100308,YEW LEE CHAN,5.5149004,100.5458921
BMGSV11,10100309,HOOVER MINI MARKET,5.5148101,100.5456528
BMGSV11,10100334,LOONG TING,5.5075277,100.6837624
BMGSV12,10100365,K.RUNCIT BALA,5.4295809,100.5319987
BMGSV12,10100388,RESTORAN 37,5.4296904,100.5340356
BMGSV12,10100389,RESTORAN FOOK CHAI,5.4292379,100.5340424
BMGSV12,10100394,THANG BROTHERS,5.4223731,100.5377449
BMGSV12,10100419,HUH GEEN,5.4399771,100.5370828
BMGSV12,10100420,SRI VALIAMAS,5.4402756,100.5374093
BMGSV12,10100436,RESTORAN BIB,5.4079638,100.5508342
BMGSV12,10100440,RESTORAN TAMAN SAWI,5.413556,100.5500836
BMGSV12,10100455,RESTORAN AWAN BERINGIN,5.3966145,100.5588933
BMGSV12,10100472,SENG TONG,5.4296363,100.5316773
BMGSV12,10100487,GUAN SENG KEDAI BUAH,5.4292396,100.5333482
BMGSV12,10100514,STOR SARATHAMBAL,5.4203215,100.5555203
BMGSV12,10100519,K B SENANGIN MM,5.4012307,100.5657144
BMGSV12,10100520,CERIA RIA,5.4011679,100.5656468
BMGSV12,10100521,SHAREZ ENTERPRISE,5.4084255,100.5645562
BMGSV12,10100526,ENG HONG,5.4236529,100.5377676
BMGSV13,10100538,PASAR MINI RUDRAA,5.3723838,100.5802669
BMGSV10,10100027,SHEONG HIN,5.366562,100.5540031
BMGSV10,10100038,PERNIAGAAN WENG XIN,5.3747607,100.5357461
BMGSV10,10100039,MIN WANG,5.3748695,100.5366765
BMGSV10,10100047,DAO SIANG RESTAURANT,5.3759486,100.5373668
BMGSV10,10100054,GUAN HOE,5.3772272,100.538387
BMGSV10,10100093,HONG TA,5.3710828,100.5535715
BMGSV10,10100098,KOK PIN,5.3703786,100.5538019
BMGSV10,10100101,PASAR MINI FENG SHENG,5.3717717,100.5410598
BMGSV10,10100103,ESSO BANDAR BARU KULIM,5.3706971,100.542067
BMGSV10,10100118,HUAT TAI,5.3698602,100.5559238
BMGSV10,10100124,CHIN THYE,5.370356,100.5554475
BMGSV10,10100137,RESTORAN 85,5.3776366,100.5398761
BMGSV10,10100138,FOODENS TRADING,5.3780605,100.540985
BMGSV10,10100144,XIN CHENG,5.3774204,100.5382829
BMGSV11,10100169,SEONG KEE,5.4194726,100.6680108
BMGSV11,10100172,PERNIAGAAN BERKAT RAFFI (KARANGAN),5.4198972,100.6674384
BMGSV13,10100174,YIN SOO TONG,5.3215356,100.7488485
BMGSV13,10100183,CHIN GUAN,5.3208408,100.748192
BMGSV12,10100204,SHELL STESYEN MINYAK NS,5.4969398,100.5488792
BMGSV11,10100221,KE POH HIN,5.5134328,100.5531886
BMGSV11,10100226,YEW NGEE,5.5134889,100.5537561
BMGSV11,10100230,PIAU SIANG RESTAURANT,5.5123087,100.5567626
BMGSV11,10100235,LIM YEUW CHEANG,5.51136,100.5591378
BMGSV11,10100241,HOCK CHUAN GUAN,5.5115638,100.5574235
BMGSV11,10100248,TAN SOON HUAT,5.4309834,100.6089525
BMGSV11,10100256,LEE SI POU,5.4281061,100.6448806
BMGSV11,10100284,BOON TEK,5.5180184,100.613546
BMGSV11,10100295,AM NAM ENTERPRISE,5.521662,100.6116252
BMGSV11,10100302,SHELL HUNG CHEONG COMPANY SB,5.514781,100.5444657
BMGSV11,10100304,TEIK GUAN,5.5144935,100.5443123
BMGSV11,10100306,RIYEN,5.5144003,100.544788
BMGSV11,10100307,MENG HWA,5.5143059,100.5455078
BMGSV11,10100333,AZMAN B. HJ ISMAIL,5.5073973,100.6838121
BMGSV11,10100352,AWANG KECHIK B AHMAD,5.4454614,100.7282151
BMGSV11,10100356,BMGSV11,5.3514692,100.4684592
BMGSV11,10100358,MUTIARA DUO MAJU ENTERPRISE,5.4313354,100.6404791
BMGSV12,10100368,RESTORAN HUN TAI,5.4300291,100.5324864
BMGSV12,10100379,NYAN CHAI HIN,5.4296811,100.5336973
BMGSV12,10100381,JIN SENG CHAN,5.4300296,100.5337458
BMGSV12,10100382,STALL 5,5.4300185,100.5338851
BMGSV12,10100384,SING KUANG,5.4296571,100.5336188
BMGSV12,10100408,KEDAI RUNCIT SENG YAP,5.4421767,100.545722
BMGSV12,10100411,COSMOS CAFE,5.4415085,100.5461903
BMGSV12,10100414,PASARAYA MARCO POLO,5.4406491,100.5459037
BMGSV12,10100430,ANIKA RIA JAYA,5.4247528,100.5522748
BMGSV13,10100434,KEDAI KOPI H.LINE,5.3901736,100.5641048
BMGSV12,10100439,RAMU A/P SHAMLAL,5.4136002,100.5501053
BMGSV12,10100445,ROJINI  ENTERPRISE,5.4082026,100.5645328
BMGSV12,10100447,KEDAI RUNCIT SRI YUVASHINI,5.3981763,100.5588106
BMGSV12,10100475,CM INTERNET CAFE,5.4315654,100.5403815
BMGSV12,10100493,U & YOU KOPITIAM,5.4184782,100.5496293
BMGSV12,10100499,JIN HONG,5.4466566,100.5497177
BMGSV10,10100001,PELITA SAMUDRA PERTAMA (M) S/B (4),5.368986,100.5563679
BMGSV10,10100002,NG KENG KOOI,5.3717446,100.5569556
BMGSV10,10100017,JOE,5.3729677,100.5575806
BMGSV10,10100024,SHAILO,5.3674848,100.5547473
BMGSV10,10100037,PETRONAS ANAS MUSTAFA,5.3741795,100.5353576
